fuzzy_nm,input_y_coord,input_year_beg,input_x_coord,input_id,input_dynasty,input_nm_trad,input_year_end,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,partial_incl_start_of_target,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,partial_incl_start_of_target,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,incoming_nested_in_target,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,incoming_nested_in_target,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,partial_incl_start_of_target,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,partial_incl_start_of_target,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,CAUTION__ZEROES,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,CAUTION__ZEROES,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,CAUTION__ZEROES,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,CAUTION__ZEROES,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
北平,39.0223,24.0,115.3431,PL000000002122,东汉,北平,220.0,found,False,False,False,False,,244
北平,40.0247,24.0,113.6937,PL000000004062,东汉,北平邑,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,True,False,target_nested_in_incoming,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,target_nested_in_incoming,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,partial_incl_start_of_target,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,partial_incl_end_of_target,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
定襄,40.6788,24.0,112.0435,PL000000006251,东汉,定襄,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,partial_incl_end_of_target,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,partial_incl_start_of_target,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,,244
平城,40.1302,24.0,113.3515,PL000000003910,东汉,平城,220.0,found,False,False,False,False,partial_incl_end_of_target,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,True,False,ERROR__END_BEFORE_BEG,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,target_nested_in_incoming,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,partial_incl_start_of_target,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
雲中,40.5357,24.0,111.3347,PL000000006273,东汉,雲中,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,True,False,target_nested_in_incoming,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,True,incoming_nested_in_target,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,partial_incl_end_of_target,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,target_nested_in_incoming,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,target_nested_in_incoming,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,target_nested_in_incoming,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,target_nested_in_incoming,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,partial_incl_start_of_target,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,partial_incl_end_of_target,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,target_nested_in_incoming,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,target_nested_in_incoming,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,partial_incl_start_of_target,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
廣陵,32.4474,24.0,119.4051,PL000000010836,东汉,廣陵,220.0,found,False,False,False,False,,244
平舒,39.7727,24.0,114.2242,PL000000003991,东汉,平舒,220.0,found,False,False,False,False,,244
平舒,39.7727,24.0,114.2242,PL000000003991,东汉,平舒,220.0,found,False,False,False,False,incoming_nested_in_target,244
平舒,39.7727,24.0,114.2242,PL000000003991,东汉,平舒,220.0,found,False,False,False,False,,244
